,Unnamed: 0,Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,total_change
0,0,Algeria,1530.0,1590.0,1670.0,1730.0,1930.0,2250.0,2710.0,3110.0,3600.0,4210.0,4290.0,4470.0,4600.0,5200.0,5520.0,5490.0,4850.0,4370.0,3950.0,3980.0,4010.0,1.6209150326797386
1,1,Argentina,7580.0,7470.0,7000.0,4040.0,3650.0,3370.0,4260.0,5480.0,6510.0,7670.0,7790.0,9270.0,10710.0,11870.0,12840.0,12330.0,12590.0,12220.0,13140.0,12430.0,11250.0,0.4841688654353562
2,2,Australia,21440.0,21130.0,20160.0,20030.0,21170.0,25570.0,30390.0,34150.0,37340.0,42360.0,44050.0,46690.0,50380.0,60260.0,66050.0,65180.0,60490.0,54090.0,51480.0,53070.0,54910.0,1.5611007462686568
3,3,Bangladesh,420.0,440.0,440.0,440.0,460.0,510.0,550.0,570.0,610.0,660.0,730.0,800.0,890.0,970.0,1040.0,1110.0,1220.0,1370.0,1520.0,1750.0,1930.0,3.5952380952380953
4,4,Canada,21210.0,22620.0,23030.0,23610.0,25860.0,29900.0,34810.0,38510.0,43090.0,45650.0,43230.0,44490.0,47190.0,51080.0,52800.0,52200.0,47590.0,43890.0,42900.0,45080.0,46550.0,1.1947194719471947
5,5,Brazil,4120.0,3930.0,3350.0,3100.0,2990.0,3350.0,4000.0,4850.0,6190.0,7620.0,8320.0,9650.0,11080.0,12310.0,12790.0,12120.0,10190.0,8920.0,8700.0,9170.0,9270.0,1.25
6,6,China,860.0,940.0,1010.0,1110.0,1280.0,1510.0,1760.0,2060.0,2510.0,3100.0,3680.0,4340.0,5040.0,5910.0,6740.0,7470.0,7890.0,8210.0,8670.0,9540.0,10310.0,10.988372093023257
7,7,Denmark,33060.0,32580.0,31410.0,30850.0,34750.0,42640.0,49610.0,53540.0,55740.0,60390.0,60090.0,61220.0,61990.0,61650.0,63200.0,63670.0,60510.0,58040.0,56690.0,61260.0,63460.0,0.9195402298850575
8,8,"Egypt, Arab Rep.",1310.0,1420.0,1430.0,1330.0,1240.0,1200.0,1220.0,1320.0,1530.0,1840.0,2120.0,2370.0,2560.0,2840.0,3030.0,3230.0,3340.0,3440.0,3030.0,2790.0,2690.0,1.0534351145038168
9,9,France,25420.0,24970.0,23840.0,23090.0,25930.0,31360.0,35870.0,37850.0,40130.0,43460.0,43930.0,43850.0,44350.0,43380.0,43780.0,43320.0,41100.0,39070.0,38270.0,41150.0,42510.0,0.6723052714398112
10,10,Greece,,,,,,,,24550.0,26350.0,28660.0,29330.0,27530.0,24510.0,23170.0,22410.0,21990.0,20170.0,18630.0,17940.0,19060.0,19650.0,
11,11,Indonesia,570.0,580.0,720.0,790.0,900.0,1080.0,1220.0,1380.0,1600.0,1940.0,2150.0,2530.0,3010.0,3580.0,3730.0,3620.0,3430.0,3400.0,3530.0,3840.0,4050.0,6.105263157894737
