,Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Algeria,0.018414,0.004832,0.006054,0.004906,0.022377,0.020784,0.045058,0.017289,0.01757,0.02151,0.025393,0.013197,0.028001,0.028643,0.008565,0.016607,0.014136,0.02084,0.034973,0.042965,0.044661
1,Argentina,2.073058,2.617523,3.151093,3.084571,2.873439,2.558176,2.800738,3.079184,2.635797,2.564317,2.757322,2.860631,2.838265,2.709964,2.932792,2.945296,2.985942,2.732613,2.962672,2.962767,2.91184
2,Australia,2.587144,2.565069,2.481849,2.537384,2.591864,2.637543,2.765928,2.798649,2.749236,2.77023,3.014951,3.471619,4.418236,4.19042,4.645385,4.226812,4.406212,4.853733,4.567292,5.587851,6.052054
3,Bangladesh,0.018483,0.016298,0.021066,0.015504,0.015157,0.014839,0.014556,0.01434,0.014143,0.017709,0.008058,0.013788,0.016293,0.014959,0.014548,0.012262,0.01795,0.017671,0.020613,0.018112,0.019083
4,Brazil,5.317034,5.349714,4.674266,4.929479,5.137103,5.320681,5.520577,5.580398,6.051149,6.113883,6.42538,6.681251,6.855265,6.619196,6.427952,6.353726,6.420413,6.658975,6.634846,7.046457,7.348965
5,Canada,32.460985,33.233606,30.523552,31.637947,29.959446,29.708783,31.167271,30.083849,30.809373,31.077451,30.164842,28.588883,30.207807,30.26587,30.707651,29.656863,30.212169,30.369308,30.576563,29.640321,29.169151
6,China,0.432628,0.485493,0.596405,0.611502,0.596261,0.735486,0.823615,0.900013,0.998242,1.309142,1.293615,1.511048,1.507158,1.877702,2.031559,2.371355,2.52211,2.726705,2.951805,3.216635,3.476801
7,Denmark,2.285739,2.898027,3.011291,3.46462,4.084698,4.770811,4.868224,4.518852,5.005097,4.847771,4.777585,5.834373,6.582503,6.811133,7.251027,8.08359,8.429234,8.127734,9.5591,9.036414,10.115041
8,"Egypt, Arab Rep.",0.55347,0.575423,0.574088,0.544974,0.494774,0.486736,0.468535,0.465598,0.505267,0.531269,0.478935,0.453317,0.451569,0.44313,0.429729,0.415254,0.427453,0.429562,0.41043,0.426895,0.489865
9,France,3.620868,3.329194,3.675663,3.009317,2.910826,2.916229,2.587616,2.840119,3.092219,3.556371,3.372104,3.681379,3.070873,3.83187,4.356782,4.149449,4.02145,4.295035,4.013051,4.748822,4.843653
10,Greece,1.19771,1.038722,0.726744,0.877116,1.430781,1.425667,1.535086,1.835105,1.097376,1.374872,1.959395,2.519718,1.948684,2.425242,3.420252,2.895935,3.524108,3.528294,3.264512,3.81439,3.680052
11,Indonesia,0.190682,0.195527,0.227671,0.204062,0.190449,0.198093,0.206119,0.190041,0.211243,0.224298,0.235594,0.298076,0.244972,0.256406,0.306826,0.318763,0.267722,0.390277,0.388507,0.419524,0.557044
12,India,0.228492,0.211294,0.195901,0.182817,0.183219,0.26201,0.252272,0.29296,0.318684,0.305984,0.289571,0.301345,0.360518,0.336762,0.376177,0.397351,0.383997,0.396761,0.4398,0.483233,0.538772
13,"Iran, Islamic Rep.",0.221962,0.161592,0.172593,0.327733,0.384545,0.470306,0.559818,0.705959,0.673968,0.279418,0.250068,0.370156,0.37917,0.434053,0.497283,0.484534,0.435486,0.496647,0.546908,0.361036,0.881481
14,Japan,2.193261,2.200724,2.12452,2.114922,2.385596,2.373987,2.154558,2.382454,2.103606,2.094658,1.98491,2.398334,2.288779,2.232896,2.405333,2.658675,3.044241,2.797594,3.158677,3.473436,3.807995
15,Luxembourg,0.785319,1.08715,1.051782,0.934259,0.860204,1.16923,1.227775,1.408912,1.479426,1.536946,1.41367,1.375703,1.227192,1.494309,1.745355,1.823303,1.922022,1.985789,2.535116,2.816547,3.113266
16,Morocco,0.080534,0.07544,0.101204,0.09644,0.150439,0.160928,0.103432,0.101157,0.100662,0.101624,0.243169,0.332678,0.213257,0.182795,0.303742,0.265068,0.321847,0.333433,0.325659,0.447308,0.512151
17,Mexico,1.105479,1.10829,0.955028,0.843907,0.717852,0.849764,0.919985,0.953749,0.881394,1.138339,0.823931,1.058648,1.024666,0.942592,0.864516,1.129981,0.999343,1.00983,1.048039,1.116305,1.213589
18,Norway,75.584472,87.741481,73.677776,78.208677,63.21233,64.411095,79.287584,68.868912,75.956258,77.660767,68.74946,62.95941,63.855166,73.779999,65.75313,68.263039,68.151062,69.3427,68.476147,66.654425,60.382799
19,New Zealand,19.110947,20.179792,17.742791,19.514169,18.206511,20.445646,17.935111,17.933178,17.982157,17.36323,18.88324,19.561491,19.790085,18.294652,18.155634,19.162891,19.380116,19.835591,19.027171,19.288619,18.841714
20,Peru,1.563708,1.714843,1.830869,1.844143,1.864304,1.732499,1.769009,1.896952,1.87193,1.804149,1.855546,1.861686,1.968881,1.986862,2.018829,2.02633,2.110311,2.095128,2.50181,2.659487,2.712196
21,Poland,0.169398,0.168005,0.199335,0.19712,0.168454,0.221029,0.285209,0.327247,0.406387,0.58905,0.784357,0.937348,1.097759,1.368291,1.370504,1.540532,1.710318,1.646162,1.776826,1.698895,1.938471
22,United States,3.993018,3.545591,2.904,3.427357,3.55238,3.52631,3.59805,3.933222,3.699545,4.112739,4.497078,4.648846,5.384592,5.188684,5.454616,5.563348,5.621134,6.187854,6.759386,6.873904,6.960604
23,World,1.306271,1.318438,1.268913,1.281657,1.268534,1.348134,1.384765,1.432626,1.465992,1.559443,1.574581,1.675008,1.727259,1.810606,1.907451,1.96872,2.012209,2.098487,2.194493,2.298676,2.398941
24,South Africa,0.057825,0.098082,0.130499,0.151899,0.073225,0.077809,0.100348,0.183771,0.179979,0.093248,0.101557,0.081494,0.179053,0.076255,0.088777,0.206049,0.321503,0.38568,0.50419,0.559766,0.566147
